fecha	rank	iteracion_bayesiana	qsemillas	semilla	corte	ganancia	metrica
20241107.134111	1	5	1	253811	12270	96962453.7731134	96962453.7731134
20241107.134115	1	5	1	643061	10529	94255020.9895052	94255020.9895052
20241107.134118	1	5	1	513481	12609	93458959.0204898	93458959.0204898
20241107.134120	1	5	1	291191	13095	95837188.9055472	95837188.9055472
20241107.134123	1	5	1	675929	11809	95116290.3548226	95116290.3548226
20241107.134125	1	5	1	793889	13059	94905520.7396302	94905520.7396302
20241107.134128	1	5	1	867991	11278	92813080.4597701	92813080.4597701
20241107.134131	1	5	1	700759	14031	92410526.2368816	92410526.2368816
20241107.134133	1	5	1	523489	11594	97416512.7436282	97416512.7436282
20241107.134136	1	5	1	853759	12731	94560341.3293353	94560341.3293353
20241107.134138	1	5	1	795913	13249	93388014.4927536	93388014.4927536
20241107.134141	1	5	1	625819	12586	93682087.956022	93682087.956022
20241107.134144	1	5	1	198827	12491	95889536.7316342	95889536.7316342
20241107.134146	1	5	1	276371	13281	91724134.4327836	91724134.4327836
20241107.134149	1	5	1	679051	12871	99978362.3188406	99978362.3188406
20241107.134151	1	5	1	964679	13113	90530279.3603198	90530279.3603198
20241107.134154	1	5	1	836071	11421	93148552.2238881	93148552.2238881
20241107.134156	1	5	1	830173	13461	93031290.8545727	93031290.8545727
20241107.134159	1	5	1	325777	14545	89669457.7711144	89669457.7711144
20241107.134202	1	5	1	906727	14608	88054584.7076462	88054584.7076462
20241107.134204	1	5	20	-1	12972	93302387.806097	93302387.806097
