fecha	rank	iteracion_bayesiana	qsemillas	semilla	corte	ganancia	metrica
20241107.224742	1	46	1	253811	13651	100559701.649175	100559701.649175
20241107.224745	1	46	1	643061	13367	100706502.248876	100706502.248876
20241107.224747	1	46	1	513481	12910	99802193.9030485	99802193.9030485
20241107.224750	1	46	1	291191	14596	102896725.637181	102896725.637181
20241107.224752	1	46	1	675929	14360	101363778.110945	101363778.110945
20241107.224754	1	46	1	793889	12753	101101153.923038	101101153.923038
20241107.224756	1	46	1	867991	14336	101537235.382309	101537235.382309
20241107.224758	1	46	1	700759	12151	101242910.044978	101242910.044978
20241107.224801	1	46	1	523489	13820	100325707.146427	100325707.146427
20241107.224803	1	46	1	853759	11620	101523928.035982	101523928.035982
20241107.224805	1	46	1	795913	12104	103556817.591204	103556817.591204
20241107.224808	1	46	1	625819	14429	101732252.373813	101732252.373813
20241107.224810	1	46	1	198827	14450	99410739.6301849	99410739.6301849
20241107.224812	1	46	1	276371	13652	101611132.433783	101611132.433783
20241107.224815	1	46	1	679051	14012	102591342.328836	102591342.328836
20241107.224817	1	46	1	964679	12538	100835619.190405	100835619.190405
20241107.224819	1	46	1	836071	11176	101448799.6002	101448799.6002
20241107.224821	1	46	1	830173	12473	103478005.497251	103478005.497251
20241107.224824	1	46	1	325777	14025	101499702.648676	101499702.648676
20241107.224826	1	46	1	906727	10916	100186840.57971	100186840.57971
20241107.224828	1	46	20	-1	13928	100818554.722639	100818554.722639
