fecha	rank	iteracion_bayesiana	qsemillas	semilla	corte	ganancia	metrica
20241114.195722	1	49	1	253811	13376	96392847.5762119	96392847.5762119
20241114.195738	1	49	1	643061	11641	98804034.4827586	98804034.4827586
20241114.195744	1	49	1	513481	11489	97373781.6091954	97373781.6091954
20241114.195750	1	49	1	291191	12787	95744233.3833084	95744233.3833084
20241114.195757	1	49	1	867991	10881	96115838.5807097	96115838.5807097
20241114.195801	1	49	1	523489	13333	98242313.3433283	98242313.3433283
20241114.195806	1	49	1	853759	12973	96809709.6451774	96809709.6451774
20241114.195811	1	49	1	795913	12669	94449173.9130435	94449173.9130435
20241114.195816	1	49	1	625819	10749	97973171.914043	97973171.914043
20241114.195822	1	49	1	198827	12763	96387995.5022489	96387995.5022489
20241114.195830	1	49	1	276371	12207	95474798.1009495	95474798.1009495
20241114.195835	1	49	1	679051	12800	98003918.0409795	98003918.0409795
20241114.195840	1	49	1	964679	12202	97794855.5722139	97794855.5722139
20241114.195845	1	49	1	836071	10565	96462431.2843578	96462431.2843578
20241114.195850	1	49	1	830173	10597	96391514.7426287	96391514.7426287
20241114.195854	1	49	1	325777	11844	98980615.6921539	98980615.6921539
20241114.195859	1	49	1	906727	12526	97988924.5377311	97988924.5377311
20241114.195903	1	49	17	-1	12346	96569182.0560308	96569182.0560308
