fecha	rank	iteracion_bayesiana	qsemillas	semilla	corte	ganancia	metrica
20241112.020317	1	30	1	253811	13195	98787823.5882059	98787823.5882059
20241112.020411	1	30	1	643061	11699	97084651.1744128	97084651.1744128
20241112.020455	1	30	1	513481	11340	96167966.0169915	96167966.0169915
20241112.020538	1	30	1	291191	12688	94076893.5532234	94076893.5532234
20241112.020622	1	30	1	675929	11684	96645463.2683658	96645463.2683658
20241112.020705	1	30	1	793889	13163	94454582.2088955	94454582.2088955
20241112.020749	1	30	1	867991	11769	96791812.5937032	96791812.5937032
20241112.020832	1	30	1	700759	12628	95787048.4757621	95787048.4757621
20241112.020916	1	30	1	523489	11880	98948865.5672164	98948865.5672164
20241112.020959	1	30	1	853759	13684	95860315.842079	95860315.842079
20241112.021043	1	30	1	795913	12708	94165399.3003498	94165399.3003498
20241112.021127	1	30	1	625819	13215	97647043.978011	97647043.978011
20241112.021210	1	30	1	198827	13080	96961019.4902549	96961019.4902549
20241112.021254	1	30	1	276371	11154	99958061.9690155	99958061.9690155
20241112.021338	1	30	1	679051	11843	95878930.0349825	95878930.0349825
20241112.021421	1	30	1	964679	13307	97810300.3498251	97810300.3498251
20241112.021505	1	30	1	836071	11677	95635752.6236882	95635752.6236882
20241112.021549	1	30	1	830173	11412	95404115.942029	95404115.942029
20241112.021632	1	30	1	325777	12687	96768171.4142929	96768171.4142929
20241112.021716	1	30	1	906727	10352	96329403.2983508	96329403.2983508
20241112.021759	1	30	20	-1	12151	96151163.918041	96151163.918041
