fecha	rank	iteracion_bayesiana	qsemillas	semilla	corte	ganancia	metrica
20241111.083715	1	53	1	253811	12977	96516402.2988506	96516402.2988506
20241111.083719	1	53	1	643061	13001	95262825.0874563	95262825.0874563
20241111.083721	1	53	1	513481	11575	96139577.7111444	96139577.7111444
20241111.083724	1	53	1	291191	11585	98058963.0184908	98058963.0184908
20241111.083727	1	53	1	675929	13725	97324960.01999	97324960.01999
20241111.083729	1	53	1	793889	13146	95627675.1624188	95627675.1624188
20241111.083732	1	53	1	867991	12830	96351379.3103448	96351379.3103448
20241111.083735	1	53	1	700759	12371	96040941.0294853	96040941.0294853
20241111.083737	1	53	1	523489	12496	94672687.6561719	94672687.6561719
20241111.083740	1	53	1	853759	12406	97168234.8825587	97168234.8825587
20241111.083743	1	53	1	795913	11190	95031699.1504248	95031699.1504248
20241111.083745	1	53	1	625819	12453	97338225.3873063	97338225.3873063
20241111.083748	1	53	1	198827	12979	95754896.051974	95754896.051974
20241111.083751	1	53	1	276371	10677	94045307.846077	94045307.846077
20241111.083754	1	53	1	679051	11841	94662805.0974513	94662805.0974513
20241111.083756	1	53	1	964679	12064	96066362.8185907	96066362.8185907
20241111.083759	1	53	1	836071	12957	95242129.4352824	95242129.4352824
20241111.083801	1	53	1	830173	12291	97235103.948026	97235103.948026
20241111.083804	1	53	1	325777	12212	96180447.7761119	96180447.7761119
20241111.083807	1	53	1	906727	10240	95073783.1084458	95073783.1084458
20241111.083809	1	53	20	-1	12419	95734151.4242879	95734151.4242879
