fecha	rank	iteracion_bayesiana	qsemillas	semilla	corte	ganancia	metrica
20241113.212056	1	31	1	253811	10474	99313824.087956	99313824.087956
20241113.212104	1	31	1	643061	13463	101745706.646677	101745706.646677
20241113.212109	1	31	1	513481	11775	102018458.270865	102018458.270865
20241113.212114	1	31	1	291191	13026	101139659.170415	101139659.170415
20241113.212119	1	31	1	675929	11890	98773498.2508746	98773498.2508746
20241113.212123	1	31	1	793889	11371	101276983.008496	101276983.008496
20241113.212128	1	31	1	867991	11911	100797652.673663	100797652.673663
20241113.212133	1	31	1	700759	12843	102078390.304848	102078390.304848
20241113.212138	1	31	1	523489	11323	101784537.231384	101784537.231384
20241113.212143	1	31	1	853759	10388	99348967.5162419	99348967.5162419
20241113.212148	1	31	1	795913	11833	98843522.7386307	98843522.7386307
20241113.212153	1	31	1	625819	12790	100744342.828586	100744342.828586
20241113.212158	1	31	1	198827	11656	100366580.709645	100366580.709645
20241113.212203	1	31	1	276371	11564	98289641.1794103	98289641.1794103
20241113.212207	1	31	1	679051	10539	99291767.6161919	99291767.6161919
20241113.212212	1	31	1	964679	11165	98140472.2638681	98140472.2638681
20241113.212217	1	31	1	836071	10852	99633781.1094453	99633781.1094453
20241113.212222	1	31	1	830173	10098	98970071.964018	98970071.964018
20241113.212227	1	31	1	325777	13190	101592458.770615	101592458.770615
20241113.212232	1	31	1	906727	12382	100635925.037481	100635925.037481
20241113.212236	1	31	20	-1	11542	99842549.7251374	99842549.7251374
