fecha	rank	iteracion_bayesiana	qsemillas	semilla	corte	ganancia	metrica
20241108.153512	1	36	1	253811	13796	100377565.217391	100377565.217391
20241108.153521	1	36	1	643061	13064	101724853.573213	101724853.573213
20241108.153526	1	36	1	513481	15412	103159878.06097	103159878.06097
20241108.153532	1	36	1	291191	14195	101866424.287856	101866424.287856
20241108.153537	1	36	1	675929	14596	103839574.212894	103839574.212894
20241108.153543	1	36	1	793889	14301	101573039.98001	101573039.98001
20241108.153548	1	36	1	867991	14031	97297862.5687156	97297862.5687156
20241108.153553	1	36	1	700759	13850	101403343.328336	101403343.328336
20241108.153559	1	36	1	523489	13049	97419538.7306347	97419538.7306347
20241108.153605	1	36	1	853759	12910	101521374.312844	101521374.312844
20241108.153610	1	36	1	795913	12938	101545484.257871	101545484.257871
20241108.153616	1	36	1	625819	13963	101359989.505247	101359989.505247
20241108.153621	1	36	1	198827	14180	99762348.8255872	99762348.8255872
20241108.153627	1	36	1	276371	13971	101001460.769615	101001460.769615
20241108.153632	1	36	1	679051	14586	98379679.1604198	98379679.1604198
20241108.153638	1	36	1	964679	13789	99741187.906047	99741187.906047
20241108.153643	1	36	1	836071	12944	102309201.3993	102309201.3993
20241108.153648	1	36	1	830173	14712	99093161.4192903	99093161.4192903
20241108.153654	1	36	1	325777	14978	97897648.175912	97897648.175912
20241108.153659	1	36	1	906727	14117	99006527.2363818	99006527.2363818
20241108.153704	1	36	20	-1	14001	100141338.830585	100141338.830585
