fecha	rank	iteracion_bayesiana	qsemillas	semilla	corte	ganancia	metrica
20241113.020309	1	53	1	253811	12556	89385221.3893054	89385221.3893054
20241113.020312	1	53	1	643061	15099	89825080.9595202	89825080.9595202
20241113.020314	1	53	1	513481	13548	88628787.6061969	88628787.6061969
20241113.020316	1	53	1	291191	10556	91626340.8295852	91626340.8295852
20241113.020318	1	53	1	675929	12900	88051604.1979011	88051604.1979011
20241113.020320	1	53	1	793889	14859	88965910.5447276	88965910.5447276
20241113.020323	1	53	1	867991	11434	88523679.1604198	88523679.1604198
20241113.020325	1	53	1	700759	9746	90133742.1289355	90133742.1289355
20241113.020327	1	53	1	523489	10608	90400091.954023	90400091.954023
20241113.020329	1	53	1	853759	13238	90304834.5827086	90304834.5827086
20241113.020331	1	53	1	795913	8987	90528901.0494753	90528901.0494753
20241113.020333	1	53	1	625819	13877	90460860.069965	90460860.069965
20241113.020336	1	53	1	198827	10471	89211865.5672164	89211865.5672164
20241113.020338	1	53	1	276371	12202	89786239.88006	89786239.88006
20241113.020340	1	53	1	679051	13971	91602640.17991	91602640.17991
20241113.020342	1	53	1	964679	12924	88924963.5182409	88924963.5182409
20241113.020344	1	53	1	836071	11227	88404763.1184408	88404763.1184408
20241113.020347	1	53	1	830173	9142	90151527.2363818	90151527.2363818
20241113.020349	1	53	1	325777	9838	87865014.4927536	87865014.4927536
20241113.020351	1	53	1	906727	12724	90803104.4477761	90803104.4477761
20241113.020353	1	53	20	-1	12641	88959375.812094	88959375.812094
